"","country","year","GDP","Age_dep_ratio","high_inc","cut_variable"
"74","Guyana",2020,8741.16082530405,53.2130446300567,0,"[0,1e+04]"
"75","Hong Kong SAR, China",2020,35587.5634863488,44.6533292809211,1,"(3e+04,4e+04]"
"76","Honduras",2020,2010.54489641962,55.1864324243274,0,"[0,1e+04]"
"77","Croatia",2020,15204.3467086723,55.7481798524025,1,"(1e+04,2e+04]"
"78","Haiti",2020,1188.29576359864,60.3812315189384,0,"[0,1e+04]"
"79","Hungary",2020,16745.0857201244,52.8392101830071,1,"(1e+04,2e+04]"
"80","Indonesia",2020,4312.35308223753,47.489405189876,0,"[0,1e+04]"
"81","Ireland",2020,81297.0669473559,54.8232359943845,1,NA
"82","Israel",2020,33817.4182358118,67.3438929800863,1,"(3e+04,4e+04]"
"83","India",2020,1961.29871122172,48.6646203053887,0,"[0,1e+04]"
"84","Iraq",2020,4927.04830769522,69.9422367552804,0,"[0,1e+04]"
"85","Iran, Islamic Rep.",2020,5943.59733025937,45.5795859636124,0,"[0,1e+04]"
"86","Iceland",2020,47630.3344137744,53.9555559290273,1,"(4e+04,5e+04]"
"87","Italy",2020,32901.8829242099,56.9592202950824,1,"(3e+04,4e+04]"
"88","Jamaica",2020,4357.96026073418,48.0076533940193,0,"[0,1e+04]"
"89","Jordan",2020,3241.65747648319,58.2467315433691,0,"[0,1e+04]"
"90","Kenya",2020,1206.22156699649,69.7758009564679,0,"[0,1e+04]"
"91","Kyrgyz Republic",2020,1000.21308341453,59.685067982921,0,"[0,1e+04]"
"92","Cambodia",2020,1212.02549983639,55.7093963458753,0,"[0,1e+04]"
"93","Kiribati",2020,1807.64218886486,67.0339812613621,0,"[0,1e+04]"
"94","Comoros",2020,1436.52360212743,72.7881289081671,0,"[0,1e+04]"
"95","St. Kitts and Nevis",2020,15215.1857510107,NA,1,"(1e+04,2e+04]"
"96","Korea, Rep.",2020,28361.1890143807,39.5356280354824,1,"(2e+04,3e+04]"
"97","Kazakhstan",2020,11075.0081569579,58.8485973854882,0,"(1e+04,2e+04]"
"98","Lao PDR",2020,1835.66226558967,56.7555735005725,0,"[0,1e+04]"
"99","Lebanon",2020,4636.90186150712,48.4072422392931,0,"[0,1e+04]"
"100","St. Lucia",2020,7426.72861119881,39.3697440723762,0,"[0,1e+04]"
"101","Sri Lanka",2020,3845.68313565676,53.6516254343468,0,"[0,1e+04]"
"102","Liberia",2020,489.508455942967,77.5905276194081,0,"[0,1e+04]"
"103","Lesotho",2020,1087.9585929226,59.2023281530541,0,"[0,1e+04]"
"104","Lithuania",2020,18390.7606687773,56.4845279316971,1,"(1e+04,2e+04]"
"105","Luxembourg",2020,107457.984960026,42.7518349856294,1,NA
"106","Latvia",2020,16201.8328953086,59.031799702769,1,"(1e+04,2e+04]"
"107","Libya",2020,5503.73101421671,47.7336064710241,0,"[0,1e+04]"
"108","Morocco",2020,3126.96406913402,52.3801074430716,0,"[0,1e+04]"
"109","Moldova",2020,3513.60404668124,39.6284603490311,0,"[0,1e+04]"
"110","Montenegro",2020,7292.67039645545,51.090432770822,0,"[0,1e+04]"
"111","Madagascar",2020,458.814928509715,75.9424487949434,0,"[0,1e+04]"
"112","North Macedonia",2020,5370.98122121275,44.4825099170573,0,"[0,1e+04]"
"113","Mali",2020,755.902899011372,97.9588497158308,0,"[0,1e+04]"
"114","Myanmar",2020,1478.12473246512,46.4593788892905,0,"[0,1e+04]"
"115","Mongolia",2020,4053.63263613099,54.8113811647504,0,"[0,1e+04]"
"116","Macao SAR, China",2020,24350.3439768089,35.732874579063,1,"(2e+04,3e+04]"
"117","Mauritania",2020,1683.85616570981,75.0178230105417,0,"[0,1e+04]"
"118","Malta",2020,26013.5054616294,55.515587529976,1,"(2e+04,3e+04]"
"119","Mauritius",2020,9272.84321906526,41.4524326788971,0,"[0,1e+04]"
